[INFO] Training with hyperparameters: {'lr': 0.1, 'reg': 0.01, 'epochs': 30, 'batch_size': 128, 'hidden': [512, 256], 'activation': 'tanh', 'decay_every': 10, 'decay_rate': 0.5, 'output_path': '../ckpt/best_model_lr0.1_reg0.01_tanh_hidden512_256.npz', 'log_path': 'new_log/log_lr0.1_reg0.01_tanh_hidden512_256.txt'}
Epoch 1: val_acc = 0.2553, val_loss = 2.1253
Epoch 2: val_acc = 0.2686, val_loss = 2.1669
Epoch 3: val_acc = 0.2641, val_loss = 2.2171
Epoch 4: val_acc = 0.2605, val_loss = 2.2546
Epoch 5: val_acc = 0.2637, val_loss = 2.2779
Epoch 6: val_acc = 0.2572, val_loss = 2.2908
Epoch 7: val_acc = 0.2123, val_loss = 2.2973
Epoch 8: val_acc = 0.1822, val_loss = 2.3003
Epoch 9: val_acc = 0.1678, val_loss = 2.3016
Epoch 10: val_acc = 0.1584, val_loss = 2.3022
Epoch 11: val_acc = 0.1482, val_loss = 2.3023
Epoch 12: val_acc = 0.1258, val_loss = 2.3024
Epoch 13: val_acc = 0.1123, val_loss = 2.3024
Epoch 14: val_acc = 0.1111, val_loss = 2.3025
Epoch 15: val_acc = 0.1111, val_loss = 2.3025
Epoch 16: val_acc = 0.1111, val_loss = 2.3025
Epoch 17: val_acc = 0.1111, val_loss = 2.3025
Epoch 18: val_acc = 0.1111, val_loss = 2.3025
Epoch 19: val_acc = 0.1111, val_loss = 2.3025
Epoch 20: val_acc = 0.1111, val_loss = 2.3025
Epoch 21: val_acc = 0.1111, val_loss = 2.3025
Epoch 22: val_acc = 0.1211, val_loss = 2.3025
Epoch 23: val_acc = 0.0969, val_loss = 2.3025
Epoch 24: val_acc = 0.0969, val_loss = 2.3025
Epoch 25: val_acc = 0.0969, val_loss = 2.3025
Epoch 26: val_acc = 0.0969, val_loss = 2.3025
Epoch 27: val_acc = 0.0969, val_loss = 2.3025
Epoch 28: val_acc = 0.0969, val_loss = 2.3025
Epoch 29: val_acc = 0.0969, val_loss = 2.3026
Epoch 30: val_acc = 0.0969, val_loss = 2.3026
Test Accuracy: 0.2571
